"商品
上架日","銷售
與否(有日期代表停售)","保險
公司",險種名稱,"險種
代號","保險
年齡","
年期",幣別,"保費
級距",繳費類型,商品類別,"佣金
第1年","佣金
第2年","佣金
第3年","佣金
第4年","佣金
第5年","佣金
第6年","佣金
第7年","佣金
第8年","佣金
第9年","佣金
第10年","服務
津貼
第2年","服務
津貼
第3年","服務
津貼
第4年","服務
津貼
第5年","服務
津貼
第6年","服務
津貼
第7年","服務
津貼
第8年","服務
津貼
第9年","服務
津貼
第10年",PR13,PR25,年終
2024/8/19,銷售中,全球,豪利旺利率變動型美元終身壽險(定額給付型),FNW00,,1,,,躉,主約,13.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/8/19,銷售中,全球,豪利旺利率變動型美元終身壽險(定額給付型),FNW02,,2,,,,主約,26.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/25,銷售中,全球,豪享樂退利變率變動型終身壽險(定額給付型),QMS,,6~11,,,,主約,40.00%,1.00%,,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/11/25,銷售中,全球,豪享樂退利變率變動型終身壽險(定額給付型),QMS,,12~19,,,,主約,68.00%,2.00%,1.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/11/25,銷售中,全球,豪享樂退利變率變動型終身壽險(定額給付型),QMS20,,20,,,,主約,88.00%,3.00%,3.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/5/13,銷售中,全球,豪旺世代利率變動型美元終身壽險(定額給付型),FMW00,,1,,,躉,主約,13.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/5/13,銷售中,全球,豪旺世代利率變動型美元終身壽險(定額給付型),FMW02,,2,,,,主約,26.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/3/1,銷售中,全球,豪威六六利率變動型終身壽險-定額給付型,QBW06,,6,,,,主約,45.00%,1.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2024/3/1,銷售中,全球,豪神六六利率變動型美元終身壽險-定額給付型,FBW06,,6,,,,主約,55.00%,1.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2024/11/25,銷售中,全球,樂齡臻愛防癌定期健康保險,LLD10,,10,,,,主約,40.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/11/25,銷售中,全球,樂齡臻愛防癌定期健康保險,LLD15,,15,,,,主約,50.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/11/25,銷售中,全球,樂齡臻愛防癌定期健康保險,LLD20,,20,,,,主約,60.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/4//29,銷售中,全球,臻心一意防癌一年期健康保險附約,XCF00,,1,,,,附約,23.00%,23.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,N,N,Y
2024/4//29,銷售中,全球,臻心全意防癌一年期醫療健康保險附約,XCG00,,1,,,,附約,23.00%,23.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,N,N,Y
2024/5/13,銷售中,全球,臻惜85防癌定期健康保險,PCG10,,10,,,,主約,40.00%,4.00%,2.00%,0.00%,0.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜85防癌定期健康保險,PCG15,,15,,,,主約,50.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜85防癌定期健康保險,PCG20,,20,,,,主約,60.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜85防癌定期健康保險,PCG25,,25,,,,主約,65.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜85防癌定期健康保險,PCG30,,30,,,,主約,70.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜一生防癌終身健康保險,PCF10,,10,,,,主約,40.00%,4.00%,2.00%,0.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜一生防癌終身健康保險,PCF15,,15,,,,主約,50.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜一生防癌終身健康保險,PCF20,,20,,,,主約,60.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜一生防癌終身健康保險,PCF25,,25,,,,主約,65.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/5/13,銷售中,全球,臻惜一生防癌終身健康保險,PCF30,,30,,,,主約,70.00%,4.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2024/7/12,銷售中,全球,醫療費用健康保險自負額附加條款,XHQN00,,1,,,,附約,32.00%,22.00%,22.00%,22.00%,20.00%,20.00%,8%~,,,,0.00%,,,,,,,,,N,N,Y
2023/5/22,銷售中,全球,88美傳承利率變動型美元終身壽險(定額給付型),FDW06,,6,,,,主約,50.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2023/5/22,銷售中,全球,88美傳承利率變動型美元終身壽險(定額給付型),FDW08,,8,,,,主約,58.00%,1.00%,1.00%,0.00%,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2023/5/22,銷售中,全球,88美傳承利率變動型美元終身壽險(定額給付型),FDW12,,12,,,,主約,68.00%,2.00%,1.00%,0.00%,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2023/5/22,銷售中,全球,88美傳承利率變動型美元終身壽險(定額給付型),FDW20,,20,,,,主約,82.00%,3.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/3/1,銷售中,全球,88鑫傳承利率變動型終身壽險(定額給付型),QDW06,,6,,,,主約,36.00%,1.00%,,,,,,,,,0.50%,0.50%,0.50%,,,,,,,Y,Y,Y
2023/3/1,銷售中,全球,88鑫傳承利率變動型終身壽險(定額給付型),QDW08,,8,,,,主約,45.00%,1.00%,,,,,,,,,1.00%,1.00%,1.00%,,,,,,,Y,Y,Y
2023/3/1,銷售中,全球,88鑫傳承利率變動型終身壽險(定額給付型),QDW12,,12,,,,主約,66.00%,1.00%,,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,Y
2023/3/1,銷售中,全球,88鑫傳承利率變動型終身壽險(定額給付型),QDW20,,20,,,,主約,84.00%,3.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/11/9,2025/6/1,全球,代代緻富利率變動型終身壽險(定額給付型),QJW00,0~70,1,,,躉,主約,11.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,2025/6/1,全球,代代緻富利率變動型終身壽險(定額給付型),QJW00,71~,1,,,躉,主約,9.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,2025/6/1,全球,代代緻富利率變動型終身壽險(定額給付型),QJW02,0~70,2,,,,主約,22.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,2025/6/1,全球,代代緻富利率變動型終身壽險(定額給付型),QJW02,71~,2,,,,主約,18.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/1/3,銷售中,全球,好醫靠定期醫療健康保險,PHC10,,10,,,,主約,35.00%,4.00%,2.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠定期醫療健康保險,PHC15,,15,,,,主約,45.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠定期醫療健康保險,PHC20,,20,,,,主約,55.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠終身醫療健康保險,PHD10,,10,,,,主約,40.00%,4.00%,2.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠終身醫療健康保險,PHD15,,15,,,,主約,55.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠終身醫療健康保險,PHD20,,20,,,,主約,65.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,好醫靠終身醫療健康保險,PHD30,,30,,,,主約,65.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/11/27,2026/4/27,全球,青春無距傷害保險,APC06,,6,,,,主約,35.00%,8.00%,8.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,Y
2023/11/27,2026/4/27,全球,青春無距傷害保險,APC10,,10,,,,主約,40.00%,8.00%,8.00%,6.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,Y
2023/11/27,2026/4/27,全球,青春無距傷害保險,APC15,,15,,,,主約,45.00%,10.00%,8.00%,6.00%,6.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/11/27,2026/4/27,全球,青春無距傷害保險,APC20,,20,,,,主約,60.00%,10.00%,8.00%,8.00%,6.00%,6.00%,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/4/17,銷售中,全球,非常美利率變動型美元終身壽險(定額給付型),FGD00,,1,,,躉,主約,4.20%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/3/6,2024/10/1,全球,美代緻富利率變動型美元終身壽險(定額給付型),FJW00,0~69,1,,,躉,主約,13.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/3/6,2024/10/1,全球,美代緻富利率變動型美元終身壽險(定額給付型),FJW00,70~,1,,,躉,主約,12.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/3/6,2024/10/1,全球,美代緻富利率變動型美元終身壽險(定額給付型),FJW02,0~69,2,,,,主約,26.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/3/6,2024/10/1,全球,美代緻富利率變動型美元終身壽險(定額給付型),FJW02,70~,2,,,,主約,24.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/3/16,2023/11/27,全球,益享人生傷害保險,APA10,,10,,,,主約,40.00%,8.00%,8.00%,6.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/3/16,2023/11/27,全球,益享人生傷害保險,APA15,,15,,,,主約,45.00%,10.00%,8.00%,6.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/3/16,2023/11/27,全球,益享人生傷害保險,APA20,,20,,,,主約,60.00%,10.00%,8.00%,8.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/5/22,2024/7/1,全球,傷害醫療保險附約,XMB00,,1,,,,附約,24.00%,12.00%,12.00%,12.00%,,,,,,,1.00%,,,,,,,,,N,N,Y
2023/1/3,2026/1/1,全球,溢卡貼心重大傷病一年期健康保險附約,XDF00,,1,,,,附約,24.00%,15.00%,15.00%,15.00%,,,,,,,1.00%,,,,,,,,,N,N,Y
2023/12/26調佣,2023/12/30,全球,實在醫靠醫療費用健康保險附約,XHB00,,1,,,,附約,16.00%,8.00%,8.00%,8.00%,8.00%,8.00%,4.00%,4.00%,4.00%,4%~,1.00%,,,,,,,,,N,N,Y
2023/8/21,銷售中,全球,樂齡有心定期特定傷病健康保險,LLC10,,10,,,,主約,40.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有心定期特定傷病健康保險,LLC15,,15,,,,主約,50.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有心定期特定傷病健康保險,LLC20,,20,,,,主約,60.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有保定期特定傷病健康保險,LLB10,,10,,,,主約,40.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有保定期特定傷病健康保險,LLB15,,15,,,,主約,50.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有保定期特定傷病健康保險,LLB20,,20,,,,主約,60.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有愛定期特定傷病健康保險,LLA10,,10,,,,主約,40.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有愛定期特定傷病健康保險,LLA15,,15,,,,主約,50.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,樂齡有愛定期特定傷病健康保險,LLA20,,20,,,,主約,60.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/1/3,銷售中,全球,臻心85防癌定期健康保險附約,XCE10,,10,,,,附約,45.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,臻心85防癌定期健康保險附約,XCE15,,15,,,,附約,55.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,臻心85防癌定期健康保險附約,XCE20,,20,,,,附約,65.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,臻心85防癌定期健康保險附約,XCE25,,25,,,,附約,70.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,銷售中,全球,臻心85防癌定期健康保險附約,XCE30,,30,,,,附約,75.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,2024/2/8,全球,臻心臻意防癌終身健康保險(實物給付型),PCE10,,10,,,,主約,45.00%,4.00%,2.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,2024/2/8,全球,臻心臻意防癌終身健康保險(實物給付型),PCE15,,15,,,,主約,55.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,2024/2/8,全球,臻心臻意防癌終身健康保險(實物給付型),PCE20,,20,,,,主約,65.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,2024/2/8,全球,臻心臻意防癌終身健康保險(實物給付型),PCE25,,25,,,,主約,70.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/1/3,2024/2/8,全球,臻心臻意防癌終身健康保險(實物給付型),PCE30,,30,,,,主約,75.00%,4.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/8/21,銷售中,全球,醫定照長期照顧終身健康保險附約,XLB10,,10,,,,附約,45.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫定照長期照顧終身健康保險附約,XLB15,,15,,,,附約,55.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫定照長期照顧終身健康保險附約,XLB20,,20,,,,附約,65.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫定照長期照顧終身健康保險附約,XLB30,,30,,,,附約,75.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫直照長期照顧終身健康保險附約,XLC10,,10,,,,附約,45.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫直照長期照顧終身健康保險附約,XLC15,,15,,,,附約,55.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫直照長期照顧終身健康保險附約,XLC20,,20,,,,附約,65.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/8/21,銷售中,全球,醫直照長期照顧終身健康保險附約,XLC30,,30,,,,附約,75.00%,2.00%,2.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2023/1/3,銷售中,全球,醫鑫守護一年期手術健康保險附約,XSA00,,1,,,,附約,24.00%,15.00%,15.00%,15.00%,,,,,,,1.00%,,,,,,,,,N,N,Y
2023/7/24,2025/11/24,全球,鑫美富足利率變動型美元增額終身壽險-定額給付型,FHD02,,2,,,,主約,9.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/7/24,2025/11/24,全球,鑫美富足利率變動型美元增額終身壽險-定額給付型,FHD03,,3,,,,主約,11.00%,1.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/7/24,2025/11/24,全球,鑫美富足利率變動型美元增額終身壽險-定額給付型,FHD04,,4,,,,主約,15.00%,1.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/7/24,2025/11/24,全球,鑫美富足利率變動型美元增額終身壽險-定額給付型,FHD06,,6,,,,主約,22.00%,1.00%,,,,,,,,,0.00%,,,,,,,,,N,N,Y
2023/11/9,銷售中,全球,鑫滿富足利率變動型增額終身壽險-定額給付型,QHD02,,2,,,,主約,6.50%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,銷售中,全球,鑫滿富足利率變動型增額終身壽險-定額給付型,QHD03,,3,,,,主約,11.00%,0.10%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,銷售中,全球,鑫滿富足利率變動型增額終身壽險-定額給付型,QHD04,,4,,,,主約,15.00%,0.10%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/9,銷售中,全球,鑫滿富足利率變動型增額終身壽險-定額給付型,QHD06,,6,,,,主約,22.00%,1.00%,,,,,,,,,0.00%,,,,,,,,,N,N,Y
2022/3/14,2025/3/31,全球,88美傳富利率變動型美元終身壽險(定額給付型),FTW08,,8,,,,主約,45.00%,1.00%,1.00%,,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2022/3/14,2025/3/31,全球,88美傳富利率變動型美元終身壽險(定額給付型),FTW12,,12,,,,主約,68.00%,2.00%,1.00%,,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2022/3/14,2025/3/31,全球,88美傳富利率變動型美元終身壽險(定額給付型),FTW20,,20,,,,主約,88.00%,3.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2020/8/31,2022/3/14,全球,88美傳富利率變動型美元終身壽險(定額給付型),FTW10,,10,,,,主約,40.00%,2.00%,2.00%,,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/22,2026/1/1,全球,88鑫傳富利率變動型終身壽險-定額給付型,QTW06,,6,,,,主約,30.00%,1.00%,0.00%,0.00%,,,,,,,0.50%,,,,,,,,,Y,Y,Y
2022/8/22,2026/1/1,全球,88鑫傳富利率變動型終身壽險-定額給付型,QTW08,,8,,,,主約,44.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/22,2026/1/1,全球,88鑫傳富利率變動型終身壽險-定額給付型,QTW12,,12,,,,主約,66.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/22,2026/1/1,全球,88鑫傳富利率變動型終身壽險-定額給付型,QTW20,,20,,,,主約,86.00%,3.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/1/17,銷售中,全球,平安守護傷害失能保險附約,XAS00,,1,,,,附約,24.00%,16.00%,16.00%,16.00%,,,,,,,0.00%,,,,,,,,,N,N,Y
2022/4/25,銷售中,全球,守護童心一年期定期壽險附約,XTK00,,1,,,,附約,24.00%,15.00%,15.00%,15.00%,,,,,,,1.00%,,,,,,,,,N,N,Y
2022/4/25,2023/4/17,全球,有GO美利率變動型美元終身壽險(定額給付型),FFD00,,1,,,躉,主約,4.20%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2022/7/1,銷售中,全球,有GO鑽利率變動型終身壽險(定額給付型),QFD00,,1,,,躉,主約,3.90%,0.00%,0.00%,0.00%,15.38%,,,,,,0.00%,,,,,,,,,N,N,N
2022/10/31,2025/4/21,全球,金享樂退利率變動型還本終身保險,QKP06,,6,,,,主約,15.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/10/31,2025/4/21,全球,金享樂退利率變動還本終身保險,QKP02,,2,,,,主約,9.00%,0.50%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,N,N,N
2022/10/31,2025/4/21,全球,金享樂退利率變動還本終身保險,QKP04,,4,,,,主約,12.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,N,N,N
2022/12/1,2025/1/1,全球,美富66利率變動型美元終身壽險(定額給付型),FFS06,,6,,,,主約,58.00%,1.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2021/3/22,銷售中,全球,1314金利旺盛利率變動型終身壽險(定額給付型),QRS10,,10,,,,主約,36.00%,1.00%,,,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/3/22,銷售中,全球,1314金利旺盛利率變動型終身壽險(定額給付型),QRS12,,12,,,,主約,45.00%,1.00%,1.00%,,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/3/22,銷售中,全球,1314金利旺盛利率變動型終身壽險(定額給付型),QRS15,,15,,,,主約,55.00%,2.00%,1.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/3/22,銷售中,全球,1314金利旺盛利率變動型終身壽險(定額給付型),QRS20,,20,,,,主約,78.00%,2.00%,1.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/7/1,銷售中,全球,1314美好旺盛利率變動型美元增額終身壽險(定額給付型),FVS10,,10,,,,主約,40.00%,1.00%,1.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/7/1,銷售中,全球,1314美好旺盛利率變動型美元增額終身壽險(定額給付型),FVS12,,12,,,,主約,48.00%,2.00%,2.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/7/1,銷售中,全球,1314美好旺盛利率變動型美元增額終身壽險(定額給付型),FVS20,,20,,,,主約,80.00%,3.00%,3.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/12/20,銷售中,全球,好照85定期健康保險,LCD10,,10,,,,主約,35.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/12/20,銷售中,全球,好照85定期健康保險,LCD15,,15,,,,主約,45.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/12/20,銷售中,全球,好照85定期健康保險,LCD20,,20,,,,主約,45.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/12/20,銷售中,全球,好照85定期健康保險,LCD25,,25,,,,主約,72.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/12/20,銷售中,全球,好照85定期健康保險,LCD30,,30,,,,主約,72.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/7/1,2025/1/1,全球,金美樂退利率變動型美元還本終身保險(定額給付型),FHP02,,2,,,,主約,9.00%,0.50%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2021/7/1,2025/1/1,全球,金美樂退利率變動型美元還本終身保險(定額給付型),FHP04,,4,,,,主約,15.00%,1.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2021/7/1,2025/1/1,全球,金美樂退利率變動型美元還本終身保險(定額給付型),FHP06,,6,,,,主約,18.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/8/9,2023/4/17,全球,金價美利率變動型美元終身壽險(定額給付型),FDD00,,1,,,躉,主約,3.70%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2021/7/1調整佣金率,銷售中,全球,厚利安小額終身壽險,LWL06,,6,,,,主約,11.00%,1.00%,,,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2021/7/1調整佣金率,銷售中,全球,厚利安小額終身壽險,LWL10,,10,,,,主約,22.00%,1.00%,,,,,,,,,1.00%,,,,,,,,,Y,Y,Y
